,location,number_of_accidents
375,"(33.7321, -118.3182)",2
376,"(33.7322, -118.2768)",1
377,"(33.7322, -118.2792)",2
378,"(33.7322, -118.3096)",1
379,"(33.7324, -118.2805)",3
380,"(33.7324, -118.2814)",7
381,"(33.7324, -118.2836)",9
382,"(33.7324, -118.2857)",11
383,"(33.7324, -118.2879)",47
384,"(33.7324, -118.2902)",25
385,"(33.7324, -118.2924)",71
386,"(33.7324, -118.2946)",14
387,"(33.7325, -118.2957)",3
388,"(33.7325, -118.2968)",6
389,"(33.7325, -118.299)",8
390,"(33.7325, -118.3012)",8
391,"(33.7325, -118.3034)",9
392,"(33.7325, -118.3056)",6
393,"(33.7325, -118.3078)",7
394,"(33.7326, -118.305)",13
395,"(33.7329, -118.3088)",3
396,"(33.7329, -118.3136)",9
397,"(33.7333, -118.2805)",3
398,"(33.7333, -118.2814)",6
399,"(33.7333, -118.2836)",8
400,"(33.7333, -118.2857)",12
401,"(33.7333, -118.2879)",16
402,"(33.7333, -118.3119)",1
403,"(33.7333, -118.3129)",1
404,"(33.7333, -118.3137)",1
405,"(33.7334, -118.2902)",7
406,"(33.7334, -118.2924)",28
407,"(33.7334, -118.2946)",6
408,"(33.7334, -118.2968)",5
409,"(33.7334, -118.299)",4
410,"(33.7334, -118.3056)",2
411,"(33.7334, -118.3078)",3
412,"(33.7334, -118.3119)",3
413,"(33.7339, -118.3012)",1
414,"(33.7339, -118.3034)",1
415,"(33.7339, -118.3096)",5
416,"(33.7342, -118.2805)",1
417,"(33.7342, -118.2814)",8
418,"(33.7342, -118.2836)",7
419,"(33.7342, -118.2857)",12
420,"(33.7342, -118.2879)",37
421,"(33.7342, -118.2902)",16
422,"(33.7343, -118.2782)",6
423,"(33.7343, -118.2924)",29
424,"(33.7343, -118.2928)",5
425,"(33.7343, -118.2946)",6
426,"(33.7343, -118.2968)",3
427,"(33.7343, -118.299)",2
428,"(33.7343, -118.3131)",1
429,"(33.7345, -118.3012)",3
430,"(33.7347, -118.2842)",16
431,"(33.7347, -118.2879)",3
432,"(33.7347, -118.299)",2
433,"(33.7351, -118.2804)",1
434,"(33.7351, -118.2814)",5
435,"(33.7351, -118.2835)",13
436,"(33.7351, -118.2857)",9
437,"(33.7352, -118.2879)",36
438,"(33.7352, -118.2901)",17
439,"(33.7352, -118.2902)",2
440,"(33.7352, -118.2923)",36
441,"(33.7352, -118.2924)",4
442,"(33.7352, -118.2946)",5
443,"(33.7352, -118.2968)",2
444,"(33.7352, -118.299)",7
445,"(33.7352, -118.3012)",2
446,"(33.7352, -118.3015)",1
447,"(33.7352, -118.3034)",3
448,"(33.7352, -118.3056)",1
449,"(33.7352, -118.3097)",1
450,"(33.7352, -118.3108)",1
451,"(33.7352, -118.3119)",5
452,"(33.7352, -118.3131)",1
453,"(33.7352, -118.3149)",1
454,"(33.7353, -118.2789)",9
455,"(33.7353, -118.299)",6
456,"(33.7353, -118.3012)",3
457,"(33.7354, -118.3077)",1
458,"(33.7357, -118.2923)",1
459,"(33.7358, -118.3158)",1
460,"(33.736, -118.2814)",9
461,"(33.736, -118.2835)",16
462,"(33.736, -118.2857)",10
463,"(33.7361, -118.2857)",1
464,"(33.7361, -118.2879)",40
465,"(33.7361, -118.2901)",23
466,"(33.7361, -118.2923)",86
467,"(33.7361, -118.2946)",10
468,"(33.7361, -118.295)",7
469,"(33.7361, -118.2968)",11
470,"(33.7361, -118.2973)",3
471,"(33.7361, -118.299)",13
472,"(33.7361, -118.3012)",15
473,"(33.7361, -118.3034)",21
474,"(33.7361, -118.3056)",14
475,"(33.7361, -118.3077)",16
476,"(33.7361, -118.3087)",2
477,"(33.7361, -118.3097)",17
478,"(33.7363, -118.312)",11
479,"(33.7363, -118.315)",1
480,"(33.7363, -118.3166)",11
481,"(33.7365, -118.2923)",12
482,"(33.7365, -118.3108)",2
483,"(33.7365, -118.3173)",2
484,"(33.7367, -118.271)",1
485,"(33.7368, -118.3119)",6
486,"(33.7369, -118.2804)",2
487,"(33.7369, -118.2814)",7
488,"(33.7369, -118.2835)",10
489,"(33.737, -118.2857)",10
490,"(33.737, -118.2879)",27
491,"(33.737, -118.2901)",14
492,"(33.737, -118.2923)",35
493,"(33.737, -118.2945)",5
494,"(33.737, -118.2967)",2
495,"(33.737, -118.299)",12
496,"(33.737, -118.3012)",2
497,"(33.737, -118.3056)",5
498,"(33.737, -118.3077)",2
499,"(33.737, -118.3097)",5
500,"(33.7374, -118.2617)",1
501,"(33.7374, -118.2857)",3
502,"(33.7378, -118.2799)",16
503,"(33.7378, -118.2804)",5
504,"(33.7378, -118.2814)",12
505,"(33.7378, -118.2835)",14
506,"(33.7379, -118.2719)",3
507,"(33.7379, -118.2835)",1
508,"(33.7379, -118.2857)",11
509,"(33.7379, -118.2879)",46
510,"(33.7379, -118.2901)",20
511,"(33.7379, -118.2923)",83
512,"(33.7379, -118.2945)",20
513,"(33.7379, -118.2967)",8
514,"(33.7379, -118.299)",14
515,"(33.7379, -118.3012)",3
516,"(33.7379, -118.3019)",2
517,"(33.7379, -118.3034)",2
518,"(33.7379, -118.3056)",4
519,"(33.7379, -118.3065)",6
520,"(33.7379, -118.3077)",2
521,"(33.7379, -118.3097)",18
522,"(33.7379, -118.3108)",5
523,"(33.7379, -118.3114)",1
524,"(33.7379, -118.3119)",1
525,"(33.7379, -118.3147)",4
526,"(33.7384, -118.3151)",17
527,"(33.7385, -118.317)",1
528,"(33.7387, -118.272)",1
529,"(33.7388, -118.2789)",3
530,"(33.7388, -118.2791)",2
531,"(33.7388, -118.2793)",1
532,"(33.7388, -118.2799)",20
533,"(33.7388, -118.2804)",9
534,"(33.7388, -118.2814)",11
535,"(33.7388, -118.2835)",9
536,"(33.7388, -118.285)",5
537,"(33.7388, -118.2857)",14
538,"(33.7388, -118.2879)",50
539,"(33.7388, -118.2901)",20
540,"(33.7388, -118.2923)",86
541,"(33.7388, -118.2945)",13
542,"(33.7388, -118.2967)",3
543,"(33.7389, -118.3097)",7
544,"(33.7391, -118.269)",3
545,"(33.7392, -118.2814)",2
546,"(33.7392, -118.2835)",2
