,location,number_of_accidents
33402,"(34.2029, -118.6103)",1
33403,"(34.2029, -118.6136)",2
33404,"(34.203, -118.3638)",1
33405,"(34.203, -118.3646)",2
33406,"(34.203, -118.3747)",5
33407,"(34.203, -118.3779)",8
33408,"(34.203, -118.379)",16
33409,"(34.203, -118.3911)",3
33410,"(34.203, -118.3921)",6
33411,"(34.203, -118.4138)",1
33412,"(34.203, -118.428)",5
33413,"(34.203, -118.429)",1
33414,"(34.203, -118.4291)",3
33415,"(34.203, -118.4313)",5
33416,"(34.203, -118.4335)",2
33417,"(34.203, -118.4344)",1
33418,"(34.203, -118.4356)",8
33419,"(34.203, -118.4365)",2
33420,"(34.203, -118.4375)",1
33421,"(34.203, -118.4389)",4
33422,"(34.203, -118.4458)",2
33423,"(34.203, -118.4488)",47
33424,"(34.203, -118.4501)",16
33425,"(34.203, -118.4531)",10
33426,"(34.203, -118.4539)",1
33427,"(34.203, -118.4546)",1
33428,"(34.203, -118.4575)",23
33429,"(34.203, -118.4586)",8
33430,"(34.203, -118.4601)",3
33431,"(34.203, -118.4605)",2
33432,"(34.203, -118.4618)",1
33433,"(34.203, -118.4619)",4
33434,"(34.203, -118.464)",2
33435,"(34.203, -118.4662)",49
33436,"(34.203, -118.4684)",1
33437,"(34.203, -118.4706)",4
33438,"(34.203, -118.4719)",1
33439,"(34.203, -118.4749)",16
33440,"(34.203, -118.4793)",3
33441,"(34.203, -118.4815)",6
33442,"(34.203, -118.4837)",13
33443,"(34.203, -118.4859)",3
33444,"(34.203, -118.4978)",1
33445,"(34.203, -118.5099)",1
33446,"(34.203, -118.5186)",11
33447,"(34.203, -118.5197)",1
33448,"(34.203, -118.5208)",1
33449,"(34.203, -118.5262)",1
33450,"(34.203, -118.5295)",2
33451,"(34.203, -118.5306)",2
33452,"(34.203, -118.5348)",14
33453,"(34.203, -118.5361)",90
33454,"(34.203, -118.5373)",9
33455,"(34.203, -118.5415)",3
33456,"(34.203, -118.5448)",4
33457,"(34.203, -118.5456)",1
33458,"(34.203, -118.5483)",5
33459,"(34.203, -118.5492)",7
33460,"(34.203, -118.5524)",1
33461,"(34.203, -118.5535)",14
33462,"(34.203, -118.6394)",1
33463,"(34.2031, -118.3812)",1
33464,"(34.2031, -118.3878)",4
33465,"(34.2031, -118.4182)",1
33466,"(34.2031, -118.4313)",20
33467,"(34.2031, -118.5373)",7
33468,"(34.2031, -118.5386)",7
33469,"(34.2031, -118.5623)",3
33470,"(34.2031, -118.567)",1
33471,"(34.2031, -118.5819)",1
33472,"(34.2031, -118.5841)",3
33473,"(34.2032, -118.3624)",2
33474,"(34.2033, -118.6313)",18
33475,"(34.2033, -118.6527)",2
33476,"(34.2034, -118.6135)",35
33477,"(34.2034, -118.6246)",1
33478,"(34.2034, -118.6262)",1
33479,"(34.2034, -118.6278)",1
33480,"(34.2034, -118.6511)",1
33481,"(34.2034, -118.6532)",1
33482,"(34.2035, -118.5326)",1
33483,"(34.2035, -118.5623)",7
33484,"(34.2035, -118.5634)",1
33485,"(34.2035, -118.571)",22
33486,"(34.2035, -118.5732)",1
33487,"(34.2035, -118.5754)",7
33488,"(34.2036, -118.3692)",1
33489,"(34.2036, -118.3833)",15
33490,"(34.2036, -118.5579)",1
33491,"(34.2036, -118.5609)",1
33492,"(34.2036, -118.6219)",1
33493,"(34.2036, -118.6555)",18
33494,"(34.2037, -118.4094)",26
33495,"(34.2037, -118.421)",46
33496,"(34.2037, -118.6198)",2
33497,"(34.2037, -118.6321)",13
33498,"(34.2038, -118.606)",42
33499,"(34.2038, -118.6081)",4
33500,"(34.2038, -118.6103)",3
33501,"(34.2039, -118.3703)",13
33502,"(34.2039, -118.3725)",1
33503,"(34.2039, -118.3747)",4
33504,"(34.2039, -118.4094)",13
33505,"(34.2039, -118.4389)",2
33506,"(34.2039, -118.4501)",3
33507,"(34.2039, -118.4531)",3
33508,"(34.2039, -118.4599)",4
33509,"(34.2039, -118.464)",2
33510,"(34.2039, -118.4662)",11
33511,"(34.2039, -118.4673)",2
33512,"(34.2039, -118.4727)",1
33513,"(34.2039, -118.4749)",14
33514,"(34.2039, -118.4771)",2
33515,"(34.2039, -118.4793)",5
33516,"(34.2039, -118.4815)",1
33517,"(34.2039, -118.4837)",15
33518,"(34.2039, -118.4859)",3
33519,"(34.2039, -118.4942)",7
33520,"(34.2039, -118.4946)",3
33521,"(34.2039, -118.5483)",1
33522,"(34.2039, -118.5819)",1
33523,"(34.2039, -118.6444)",2
33524,"(34.204, -118.421)",7
33525,"(34.204, -118.429)",1
33526,"(34.204, -118.4291)",4
33527,"(34.204, -118.4313)",34
33528,"(34.204, -118.4335)",3
33529,"(34.204, -118.4706)",2
33530,"(34.204, -118.5133)",1
33531,"(34.204, -118.5136)",1
33532,"(34.204, -118.5148)",1
33533,"(34.204, -118.5645)",1
33534,"(34.2041, -118.3834)",1
33535,"(34.2041, -118.4433)",1
33536,"(34.2042, -118.6278)",1
33537,"(34.2042, -118.6321)",2
33538,"(34.2043, -118.5156)",1
33539,"(34.2043, -118.5754)",2
33540,"(34.2045, -118.392)",30
33541,"(34.2045, -118.6111)",1
33542,"(34.2045, -118.613)",1
33543,"(34.2045, -118.6136)",1
33544,"(34.2045, -118.6212)",2
33545,"(34.2045, -118.6533)",2
33546,"(34.2045, -118.6559)",1
33547,"(34.2046, -118.4138)",19
33548,"(34.2047, -118.5163)",5
33549,"(34.2047, -118.5531)",18
33550,"(34.2047, -118.5557)",2
33551,"(34.2047, -118.5579)",1
33552,"(34.2047, -118.5643)",3
33553,"(34.2047, -118.5671)",7
33554,"(34.2047, -118.568)",2
33555,"(34.2047, -118.5688)",12
33556,"(34.2047, -118.5689)",1
33557,"(34.2047, -118.5699)",1
33558,"(34.2047, -118.571)",26
33559,"(34.2047, -118.5754)",4
33560,"(34.2047, -118.5766)",1
33561,"(34.2047, -118.5776)",1
33562,"(34.2047, -118.5781)",1
33563,"(34.2047, -118.5791)",1
33564,"(34.2047, -118.5792)",10
33565,"(34.2047, -118.5797)",29
33566,"(34.2047, -118.5809)",1
33567,"(34.2047, -118.5841)",5
33568,"(34.2047, -118.5852)",1
33569,"(34.2047, -118.5863)",5
33570,"(34.2047, -118.5879)",14
33571,"(34.2047, -118.5885)",29
33572,"(34.2047, -118.5896)",4
33573,"(34.2047, -118.5906)",18
33574,"(34.2047, -118.5929)",20
33575,"(34.2047, -118.5943)",21
33576,"(34.2047, -118.5955)",10
33577,"(34.2047, -118.5966)",6
33578,"(34.2047, -118.5975)",40
33579,"(34.2047, -118.599)",13
33580,"(34.2047, -118.5991)",4
33581,"(34.2047, -118.5994)",49
33582,"(34.2047, -118.6003)",3
33583,"(34.2047, -118.6016)",16
33584,"(34.2047, -118.6029)",4
33585,"(34.2047, -118.6044)",8
33586,"(34.2047, -118.6059)",12
33587,"(34.2047, -118.606)",16
33588,"(34.2047, -118.6081)",7
33589,"(34.2047, -118.6103)",3
33590,"(34.2047, -118.6147)",13
33591,"(34.2047, -118.6169)",2
33592,"(34.2047, -118.6179)",1
33593,"(34.2047, -118.6363)",1
33594,"(34.2048, -118.3627)",2
33595,"(34.2048, -118.3638)",5
33596,"(34.2048, -118.3649)",1
33597,"(34.2048, -118.366)",8
33598,"(34.2048, -118.367)",6
33599,"(34.2048, -118.3681)",2
33600,"(34.2048, -118.3682)",3
33601,"(34.2048, -118.3692)",3
33602,"(34.2048, -118.3703)",34
33603,"(34.2048, -118.3725)",5
33604,"(34.2048, -118.3747)",4
33605,"(34.2048, -118.3769)",4
33606,"(34.2048, -118.3779)",7
33607,"(34.2048, -118.379)",21
33608,"(34.2048, -118.3801)",4
33609,"(34.2048, -118.3905)",1
33610,"(34.2048, -118.3911)",3
33611,"(34.2048, -118.3921)",9
33612,"(34.2048, -118.4138)",8
33613,"(34.2048, -118.4426)",1
33614,"(34.2048, -118.4433)",8
33615,"(34.2048, -118.4443)",14
33616,"(34.2048, -118.4444)",3
33617,"(34.2048, -118.4455)",35
33618,"(34.2048, -118.4468)",1
33619,"(34.2048, -118.4471)",10
33620,"(34.2048, -118.4476)",2
33621,"(34.2048, -118.4488)",167
33622,"(34.2048, -118.45)",9
33623,"(34.2048, -118.4531)",69
33624,"(34.2048, -118.4575)",43
33625,"(34.2048, -118.4599)",3
33626,"(34.2048, -118.4618)",3
33627,"(34.2048, -118.464)",5
33628,"(34.2048, -118.4659)",44
33629,"(34.2048, -118.4662)",14
33630,"(34.2048, -118.4673)",4
33631,"(34.2048, -118.4727)",1
33632,"(34.2048, -118.4782)",1
33633,"(34.2048, -118.4793)",1
33634,"(34.2048, -118.4804)",1
33635,"(34.2048, -118.4815)",3
33636,"(34.2048, -118.4825)",1
33637,"(34.2048, -118.4837)",11
33638,"(34.2048, -118.4859)",3
33639,"(34.2048, -118.4946)",1
33640,"(34.2048, -118.499)",1
33641,"(34.2048, -118.5011)",16
33642,"(34.2048, -118.5014)",4
33643,"(34.2048, -118.5022)",2
33644,"(34.2048, -118.5023)",1
33645,"(34.2048, -118.5033)",4
33646,"(34.2048, -118.5042)",2
33647,"(34.2048, -118.5057)",1
33648,"(34.2048, -118.5059)",2
33649,"(34.2048, -118.5068)",2
33650,"(34.2048, -118.5076)",3
33651,"(34.2048, -118.5099)",26
33652,"(34.2048, -118.5175)",1
33653,"(34.2048, -118.5186)",22
33654,"(34.2048, -118.5197)",2
33655,"(34.2048, -118.5208)",6
33656,"(34.2048, -118.5219)",3
33657,"(34.2048, -118.523)",2
33658,"(34.2048, -118.524)",3
33659,"(34.2048, -118.5262)",3
33660,"(34.2048, -118.5273)",55
33661,"(34.2048, -118.5285)",1
33662,"(34.2048, -118.5295)",5
33663,"(34.2048, -118.5306)",6
33664,"(34.2048, -118.5317)",24
33665,"(34.2048, -118.5326)",4
33666,"(34.2048, -118.5328)",7
33667,"(34.2048, -118.5337)",1
33668,"(34.2048, -118.5339)",16
33669,"(34.2048, -118.5348)",1
33670,"(34.2048, -118.5361)",85
33671,"(34.2048, -118.5374)",8
33672,"(34.2048, -118.5382)",1
33673,"(34.2048, -118.5393)",3
33674,"(34.2048, -118.54)",39
33675,"(34.2048, -118.5406)",3
33676,"(34.2048, -118.5416)",4
33677,"(34.2048, -118.5448)",6
33678,"(34.2048, -118.5463)",1
33679,"(34.2048, -118.5464)",1
33680,"(34.2048, -118.5483)",3
33681,"(34.2048, -118.5492)",3
33682,"(34.2048, -118.5502)",4
33683,"(34.2048, -118.5514)",4
33684,"(34.2048, -118.5524)",2
33685,"(34.2048, -118.5535)",16
33686,"(34.2048, -118.5557)",1
33687,"(34.2048, -118.5571)",2
33688,"(34.2048, -118.5623)",28
33689,"(34.2048, -118.5633)",2
33690,"(34.2048, -118.5634)",2
33691,"(34.2048, -118.5662)",1
33692,"(34.2048, -118.6198)",1
33693,"(34.2049, -118.3812)",3
33694,"(34.2049, -118.3823)",3
33695,"(34.2049, -118.3834)",3
33696,"(34.2049, -118.3845)",2
33697,"(34.2049, -118.3856)",4
33698,"(34.2049, -118.3866)",4
33699,"(34.2049, -118.3878)",61
33700,"(34.2049, -118.3943)",1
33701,"(34.2049, -118.3965)",15
33702,"(34.2049, -118.4286)",1
33703,"(34.2049, -118.4291)",7
33704,"(34.2049, -118.4313)",84
33705,"(34.2049, -118.4335)",19
33706,"(34.2049, -118.4356)",26
33707,"(34.2049, -118.4383)",6
33708,"(34.2049, -118.44)",59
33709,"(34.2049, -118.469)",4
33710,"(34.2049, -118.4706)",5
33711,"(34.2049, -118.4749)",18
33712,"(34.2049, -118.4761)",2
33713,"(34.2049, -118.4771)",1
33714,"(34.2049, -118.5084)",1
33715,"(34.2049, -118.6547)",4
33716,"(34.205, -118.4061)",26
33717,"(34.205, -118.4339)",22
33718,"(34.205, -118.5099)",1
33719,"(34.205, -118.6234)",4
33720,"(34.205, -118.6256)",1
33721,"(34.205, -118.6266)",1
33722,"(34.2051, -118.416)",2
33723,"(34.2051, -118.4247)",1
33724,"(34.2051, -118.5579)",1
33725,"(34.2051, -118.5754)",2
33726,"(34.2051, -118.6112)",1
33727,"(34.2051, -118.6136)",1
33728,"(34.2052, -118.398)",2
33729,"(34.2052, -118.3989)",1
33730,"(34.2052, -118.6277)",1
33731,"(34.2053, -118.4078)",2
33732,"(34.2053, -118.648)",2
33733,"(34.2054, -118.3965)",1
33734,"(34.2054, -118.5141)",1
33735,"(34.2055, -118.4138)",1
33736,"(34.2055, -118.4182)",11
33737,"(34.2055, -118.5099)",7
33738,"(34.2055, -118.5109)",2
33739,"(34.2055, -118.511)",2
33740,"(34.2055, -118.5122)",1
33741,"(34.2055, -118.5175)",2
33742,"(34.2055, -118.5841)",1
33743,"(34.2056, -118.4002)",1
33744,"(34.2056, -118.4025)",3
33745,"(34.2056, -118.4094)",53
33746,"(34.2056, -118.499)",1
33747,"(34.2056, -118.5906)",2
33748,"(34.2056, -118.6059)",5
33749,"(34.2056, -118.6081)",3
33750,"(34.2057, -118.3747)",11
33751,"(34.2057, -118.3769)",3
33752,"(34.2057, -118.379)",8
33753,"(34.2057, -118.4531)",1
33754,"(34.2057, -118.4553)",2
33755,"(34.2057, -118.4575)",5
33756,"(34.2057, -118.4618)",2
33757,"(34.2057, -118.464)",2
33758,"(34.2057, -118.4659)",9
33759,"(34.2057, -118.469)",4
33760,"(34.2057, -118.4837)",3
33761,"(34.2057, -118.4859)",3
33762,"(34.2057, -118.5393)",1
33763,"(34.2057, -118.5417)",5
33764,"(34.2057, -118.5557)",1
33765,"(34.2057, -118.5929)",2
33766,"(34.2058, -118.3878)",28
33767,"(34.2058, -118.3921)",15
33768,"(34.2058, -118.3943)",3
33769,"(34.2058, -118.3965)",47
33770,"(34.2058, -118.4326)",1
33771,"(34.2058, -118.4335)",2
33772,"(34.2058, -118.4356)",4
33773,"(34.2058, -118.4382)",2
33774,"(34.2058, -118.439)",1
33775,"(34.2058, -118.44)",11
33776,"(34.2058, -118.4409)",3
33777,"(34.2058, -118.4444)",7
33778,"(34.2058, -118.45)",4
33779,"(34.2059, -118.4204)",1
33780,"(34.2059, -118.571)",29
33781,"(34.2059, -118.5732)",1
33782,"(34.2059, -118.5754)",6
33783,"(34.2059, -118.5797)",12
33784,"(34.206, -118.4445)",12
33785,"(34.206, -118.5142)",2
33786,"(34.206, -118.5579)",3
33787,"(34.206, -118.5591)",3
33788,"(34.206, -118.5603)",1
33789,"(34.206, -118.5609)",1
33790,"(34.206, -118.5623)",11
33791,"(34.206, -118.6311)",2
33792,"(34.206, -118.6321)",6
33793,"(34.206, -118.6322)",7
33794,"(34.206, -118.637)",1
33795,"(34.2061, -118.3692)",1
33796,"(34.2062, -118.4312)",18
33797,"(34.2062, -118.4313)",7
33798,"(34.2062, -118.4946)",1
33799,"(34.2062, -118.5099)",7
33800,"(34.2063, -118.4096)",1
33801,"(34.2063, -118.4182)",2
33802,"(34.2063, -118.4225)",5
33803,"(34.2063, -118.5841)",1
33804,"(34.2064, -118.4059)",2
33805,"(34.2064, -118.639)",2
33806,"(34.2064, -118.6535)",4
33807,"(34.2065, -118.3497)",2
33808,"(34.2065, -118.5885)",9
33809,"(34.2065, -118.5896)",8
33810,"(34.2065, -118.5906)",7
33811,"(34.2065, -118.5929)",15
33812,"(34.2065, -118.5943)",12
33813,"(34.2065, -118.5955)",3
33814,"(34.2065, -118.5966)",1
33815,"(34.2065, -118.5967)",1
33816,"(34.2065, -118.5975)",9
33817,"(34.2065, -118.5991)",10
33818,"(34.2065, -118.6003)",5
33819,"(34.2065, -118.6016)",17
33820,"(34.2065, -118.6029)",6
33821,"(34.2065, -118.6044)",4
33822,"(34.2065, -118.606)",24
33823,"(34.2065, -118.6081)",3
33824,"(34.2065, -118.6103)",5
33825,"(34.2065, -118.6275)",1
33826,"(34.2065, -118.6284)",1
33827,"(34.2065, -118.6299)",1
33828,"(34.2066, -118.3443)",1
33829,"(34.2066, -118.3464)",1
33830,"(34.2066, -118.3666)",4
33831,"(34.2066, -118.3989)",2
33832,"(34.2066, -118.3996)",1
33833,"(34.2066, -118.4144)",59
33834,"(34.2066, -118.4618)",4
33835,"(34.2066, -118.4659)",9
33836,"(34.2066, -118.4662)",24
33837,"(34.2066, -118.4673)",6
33838,"(34.2066, -118.4706)",4
33839,"(34.2066, -118.4728)",1
33840,"(34.2066, -118.4761)",1
33841,"(34.2066, -118.4771)",3
33842,"(34.2066, -118.4782)",5
33843,"(34.2066, -118.4793)",2
33844,"(34.2066, -118.4815)",1
33845,"(34.2066, -118.4825)",2
33846,"(34.2066, -118.4837)",13
33847,"(34.2066, -118.4859)",2
33848,"(34.2066, -118.513)",1
33849,"(34.2066, -118.5197)",1
33850,"(34.2066, -118.5219)",1
33851,"(34.2066, -118.5241)",1
33852,"(34.2066, -118.5252)",1
33853,"(34.2066, -118.5317)",2
33854,"(34.2066, -118.5328)",1
33855,"(34.2066, -118.5361)",31
33856,"(34.2066, -118.5372)",1
33857,"(34.2066, -118.5382)",5
33858,"(34.2066, -118.5393)",1
33859,"(34.2066, -118.5417)",3
33860,"(34.2066, -118.5492)",4
33861,"(34.2066, -118.5503)",2
33862,"(34.2066, -118.5514)",1
33863,"(34.2066, -118.5535)",13
33864,"(34.2066, -118.5557)",3
33865,"(34.2066, -118.5579)",2
33866,"(34.2066, -118.5819)",1
33867,"(34.2066, -118.6197)",1
33868,"(34.2067, -118.3486)",2
33869,"(34.2067, -118.3509)",3
33870,"(34.2067, -118.3531)",4
33871,"(34.2067, -118.3536)",2
33872,"(34.2067, -118.3703)",17
33873,"(34.2067, -118.3725)",1
33874,"(34.2067, -118.3747)",2
33875,"(34.2067, -118.3769)",2
33876,"(34.2067, -118.379)",3
33877,"(34.2067, -118.3791)",2
33878,"(34.2067, -118.3812)",6
33879,"(34.2067, -118.3834)",6
33880,"(34.2067, -118.3845)",6
33881,"(34.2067, -118.3856)",1
33882,"(34.2067, -118.3866)",4
33883,"(34.2067, -118.3878)",28
33884,"(34.2067, -118.389)",2
33885,"(34.2067, -118.3891)",4
33886,"(34.2067, -118.3921)",2
33887,"(34.2067, -118.3943)",1
33888,"(34.2067, -118.4025)",2
33889,"(34.2067, -118.4225)",1
33890,"(34.2067, -118.4247)",11
33891,"(34.2067, -118.4356)",8
33892,"(34.2067, -118.439)",1
33893,"(34.2067, -118.4444)",4
33894,"(34.2067, -118.4476)",1
33895,"(34.2067, -118.4531)",7
33896,"(34.2067, -118.4553)",6
33897,"(34.2067, -118.4575)",14
33898,"(34.2067, -118.4618)",1
33899,"(34.2067, -118.4749)",26
33900,"(34.2067, -118.6553)",1
33901,"(34.2068, -118.3416)",8
33902,"(34.2068, -118.4025)",2
33903,"(34.2068, -118.6457)",1
33904,"(34.2069, -118.3619)",2
33905,"(34.2069, -118.363)",1
33906,"(34.2069, -118.4097)",24
33907,"(34.2069, -118.4312)",1
33908,"(34.2069, -118.5142)",2
33909,"(34.2069, -118.5175)",3
33910,"(34.2069, -118.637)",1
33911,"(34.207, -118.4261)",2
33912,"(34.207, -118.44)",2
33913,"(34.207, -118.4488)",1
33914,"(34.207, -118.4946)",1
33915,"(34.207, -118.547)",1
33916,"(34.207, -118.644)",1
33917,"(34.207, -118.6647)",2
33918,"(34.2071, -118.412)",2
33919,"(34.2071, -118.5739)",1
33920,"(34.2071, -118.5754)",28
33921,"(34.2071, -118.5768)",2
33922,"(34.2071, -118.5797)",26
33923,"(34.2071, -118.5798)",11
33924,"(34.2071, -118.5841)",1
33925,"(34.2072, -118.3965)",2
33926,"(34.2072, -118.411)",3
33927,"(34.2072, -118.4312)",42
33928,"(34.2072, -118.44)",15
33929,"(34.2072, -118.4422)",2
33930,"(34.2072, -118.4444)",9
33931,"(34.2072, -118.4488)",58
33932,"(34.2072, -118.5593)",1
33933,"(34.2072, -118.5604)",1
33934,"(34.2073, -118.3508)",8
33935,"(34.2073, -118.3989)",1
33936,"(34.2073, -118.5009)",1
33937,"(34.2073, -118.5011)",3
33938,"(34.2073, -118.5022)",1
33939,"(34.2073, -118.5579)",3
33940,"(34.2073, -118.5588)",2
33941,"(34.2073, -118.5906)",2
33942,"(34.2073, -118.6169)",1
33943,"(34.2073, -118.6187)",1
33944,"(34.2073, -118.6256)",1
33945,"(34.2074, -118.4012)",2
33946,"(34.2074, -118.4025)",1
33947,"(34.2074, -118.4098)",2
33948,"(34.2074, -118.4182)",49
33949,"(34.2074, -118.4794)",35
33950,"(34.2074, -118.5557)",1
33951,"(34.2074, -118.568)",2
33952,"(34.2074, -118.5852)",1
33953,"(34.2074, -118.5863)",1
33954,"(34.2074, -118.5929)",1
33955,"(34.2074, -118.606)",14
33956,"(34.2074, -118.6081)",2
33957,"(34.2074, -118.6103)",2
33958,"(34.2075, -118.4084)",3
33959,"(34.2075, -118.4618)",2
33960,"(34.2075, -118.4837)",6
33961,"(34.2075, -118.4991)",1
33962,"(34.2075, -118.5055)",1
33963,"(34.2075, -118.5417)",5
33964,"(34.2075, -118.5459)",1
33965,"(34.2075, -118.547)",3
33966,"(34.2075, -118.5643)",1
33967,"(34.2075, -118.5652)",2
33968,"(34.2075, -118.5666)",1
33969,"(34.2075, -118.5668)",2
33970,"(34.2076, -118.3486)",7
33971,"(34.2076, -118.3769)",2
33972,"(34.2076, -118.3791)",4
33973,"(34.2076, -118.3922)",1
33974,"(34.2076, -118.3943)",4
33975,"(34.2076, -118.4287)",2
33976,"(34.2076, -118.4531)",3
33977,"(34.2076, -118.4553)",1
33978,"(34.2076, -118.4575)",8
33979,"(34.2076, -118.4618)",1
33980,"(34.2076, -118.464)",4
33981,"(34.2076, -118.4662)",15
33982,"(34.2076, -118.4673)",2
33983,"(34.2076, -118.4771)",1
33984,"(34.2076, -118.4859)",3
33985,"(34.2076, -118.5033)",1
33986,"(34.2076, -118.5042)",1
33987,"(34.2076, -118.5142)",1
33988,"(34.2076, -118.5175)",1
33989,"(34.2077, -118.3524)",1
33990,"(34.2077, -118.4912)",72
33991,"(34.2077, -118.4968)",2
33992,"(34.2078, -118.4204)",1
33993,"(34.2079, -118.4121)",3
33994,"(34.2079, -118.421)",32
33995,"(34.208, -118.352)",1
33996,"(34.208, -118.5936)",1
33997,"(34.2081, -118.4002)",1
33998,"(34.2081, -118.4023)",3
33999,"(34.2081, -118.6525)",1
34000,"(34.2082, -118.4227)",2
34001,"(34.2082, -118.6322)",25
34002,"(34.2083, -118.4706)",1
34003,"(34.2083, -118.4729)",6
34004,"(34.2083, -118.571)",34
34005,"(34.2083, -118.5732)",2
34006,"(34.2083, -118.5754)",105
34007,"(34.2083, -118.5776)",2
34008,"(34.2083, -118.5798)",135
34009,"(34.2083, -118.5809)",13
34010,"(34.2083, -118.5819)",15
34011,"(34.2083, -118.5841)",27
34012,"(34.2083, -118.5885)",170
34013,"(34.2083, -118.5906)",19
34014,"(34.2083, -118.5929)",49
34015,"(34.2083, -118.5943)",13
34016,"(34.2083, -118.5945)",2
34017,"(34.2083, -118.5951)",7
34018,"(34.2083, -118.5955)",41
34019,"(34.2083, -118.5956)",1
34020,"(34.2083, -118.5967)",56
34021,"(34.2083, -118.5975)",105
34022,"(34.2083, -118.5991)",17
34023,"(34.2083, -118.6003)",18
34024,"(34.2083, -118.6016)",71
34025,"(34.2083, -118.6029)",18
34026,"(34.2083, -118.6044)",17
34027,"(34.2083, -118.606)",154
34028,"(34.2083, -118.6081)",25
34029,"(34.2083, -118.6103)",16
34030,"(34.2083, -118.6125)",1
34031,"(34.2083, -118.6147)",72
34032,"(34.2083, -118.6191)",5
34033,"(34.2083, -118.6234)",83
34034,"(34.2083, -118.6256)",1
34035,"(34.2083, -118.6278)",9
34036,"(34.2084, -118.4061)",4
34037,"(34.2084, -118.4236)",29
34038,"(34.2084, -118.4307)",1
34039,"(34.2084, -118.4599)",29
34040,"(34.2084, -118.4837)",11
34041,"(34.2084, -118.4858)",10
34042,"(34.2084, -118.4925)",53
34043,"(34.2084, -118.4946)",7
34044,"(34.2084, -118.4991)",1
34045,"(34.2084, -118.4993)",12
34046,"(34.2084, -118.5011)",179
34047,"(34.2084, -118.5031)",1
34048,"(34.2084, -118.5033)",15
34049,"(34.2084, -118.5044)",6
34050,"(34.2084, -118.5055)",27
34051,"(34.2084, -118.5077)",8
34052,"(34.2084, -118.5099)",168
34053,"(34.2084, -118.5121)",1
34054,"(34.2084, -118.5142)",16
34055,"(34.2084, -118.5154)",10
34056,"(34.2084, -118.5174)",6
34057,"(34.2084, -118.5186)",120
34058,"(34.2084, -118.5197)",11
34059,"(34.2084, -118.5208)",18
34060,"(34.2084, -118.5219)",11
34061,"(34.2084, -118.523)",13
34062,"(34.2084, -118.5241)",6
34063,"(34.2084, -118.5252)",1
34064,"(34.2084, -118.5262)",19
34065,"(34.2084, -118.5263)",2
34066,"(34.2084, -118.5273)",134
34067,"(34.2084, -118.5284)",6
34068,"(34.2084, -118.5295)",10
34069,"(34.2084, -118.5306)",5
34070,"(34.2084, -118.5317)",49
34071,"(34.2084, -118.5328)",13
34072,"(34.2084, -118.5339)",31
34073,"(34.2084, -118.5347)",5
34074,"(34.2084, -118.536)",203
34075,"(34.2084, -118.5361)",30
34076,"(34.2084, -118.5372)",24
34077,"(34.2084, -118.5382)",17
34078,"(34.2084, -118.5405)",30
34079,"(34.2084, -118.5417)",8
34080,"(34.2084, -118.5448)",92
34081,"(34.2084, -118.547)",4
34082,"(34.2084, -118.5492)",25
34083,"(34.2084, -118.5503)",4
34084,"(34.2084, -118.5514)",7
34085,"(34.2084, -118.5525)",9
34086,"(34.2084, -118.5535)",213
34087,"(34.2084, -118.5556)",1
34088,"(34.2084, -118.5557)",25
34089,"(34.2084, -118.5579)",18
34090,"(34.2084, -118.5604)",1
34091,"(34.2084, -118.5612)",13
34092,"(34.2084, -118.5623)",127
34093,"(34.2084, -118.5666)",49
34094,"(34.2084, -118.5688)",1
34095,"(34.2084, -118.571)",230
34096,"(34.2084, -118.6416)",2
34097,"(34.2085, -118.3464)",1
34098,"(34.2085, -118.3486)",5
34099,"(34.2085, -118.3632)",10
34100,"(34.2085, -118.3638)",5
34101,"(34.2085, -118.3648)",5
34102,"(34.2085, -118.366)",4
34103,"(34.2085, -118.367)",5
34104,"(34.2085, -118.3682)",3
34105,"(34.2085, -118.3703)",75
34106,"(34.2085, -118.3725)",1
34107,"(34.2085, -118.3747)",11
34108,"(34.2085, -118.3769)",8
34109,"(34.2085, -118.3791)",45
34110,"(34.2085, -118.3801)",7
34111,"(34.2085, -118.3812)",9
34112,"(34.2085, -118.3823)",7
34113,"(34.2085, -118.3834)",12
34114,"(34.2085, -118.3845)",8
34115,"(34.2085, -118.3866)",5
34116,"(34.2085, -118.3878)",122
34117,"(34.2085, -118.39)",11
34118,"(34.2085, -118.391)",4
34119,"(34.2085, -118.3921)",4
34120,"(34.2085, -118.3932)",3
34121,"(34.2085, -118.3943)",8
34122,"(34.2085, -118.3965)",80
34123,"(34.2085, -118.3981)",12
34124,"(34.2085, -118.4002)",10
34125,"(34.2085, -118.4016)",2
34126,"(34.2085, -118.4023)",16
34127,"(34.2085, -118.4052)",45
34128,"(34.2085, -118.4053)",27
34129,"(34.2085, -118.4488)",144
34130,"(34.2085, -118.452)",37
34131,"(34.2085, -118.4553)",17
34132,"(34.2085, -118.4575)",100
34133,"(34.2085, -118.4597)",1
34134,"(34.2085, -118.4618)",39
34135,"(34.2085, -118.4629)",6
34136,"(34.2085, -118.4638)",1
34137,"(34.2085, -118.464)",17
34138,"(34.2085, -118.4662)",180
34139,"(34.2085, -118.4673)",20
34140,"(34.2085, -118.4698)",78
34141,"(34.2085, -118.4706)",19
34142,"(34.2085, -118.4749)",81
34143,"(34.2085, -118.4771)",40
34144,"(34.2085, -118.4793)",28
34145,"(34.2085, -118.4804)",4
34146,"(34.2085, -118.4815)",4
